id,name,released_at,image_uris,set_name,collector_number,artist,art_crop_uri
33a05f9a-1285-4d14-b827-8b81968e09df,Island,1995-04-01,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/3/3/33a05f9a-1285-4d14-b827-8b81968e09df.jpg?1559601331', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/3/3/33a05f9a-1285-4d14-b827-8b81968e09df.jpg?1559601331', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/3/3/33a05f9a-1285-4d14-b827-8b81968e09df.jpg?1559601331', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/3/3/33a05f9a-1285-4d14-b827-8b81968e09df.png?1559601331', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/3/3/33a05f9a-1285-4d14-b827-8b81968e09df.jpg?1559601331', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/3/3/33a05f9a-1285-4d14-b827-8b81968e09df.jpg?1559601331'}",Fourth Edition,369,Mark Poole,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/3/3/33a05f9a-1285-4d14-b827-8b81968e09df.jpg?1559601331
7b68bdb0-41cc-48f6-905e-7da1ff4ba5e0,Plains,1995-06-03,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/7/b/7b68bdb0-41cc-48f6-905e-7da1ff4ba5e0.jpg?1562917791', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/7/b/7b68bdb0-41cc-48f6-905e-7da1ff4ba5e0.jpg?1562917791', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/7/b/7b68bdb0-41cc-48f6-905e-7da1ff4ba5e0.jpg?1562917791', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/7/b/7b68bdb0-41cc-48f6-905e-7da1ff4ba5e0.png?1562917791', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/7/b/7b68bdb0-41cc-48f6-905e-7da1ff4ba5e0.jpg?1562917791', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/7/b/7b68bdb0-41cc-48f6-905e-7da1ff4ba5e0.jpg?1562917791'}",Ice Age,364,Christopher Rush,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/7/b/7b68bdb0-41cc-48f6-905e-7da1ff4ba5e0.jpg?1562917791
df3e94f7-9f97-4652-a1f1-381feb15f688,Plains,1995-06-03,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/d/f/df3e94f7-9f97-4652-a1f1-381feb15f688.jpg?1562936655', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/d/f/df3e94f7-9f97-4652-a1f1-381feb15f688.jpg?1562936655', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/d/f/df3e94f7-9f97-4652-a1f1-381feb15f688.jpg?1562936655', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/d/f/df3e94f7-9f97-4652-a1f1-381feb15f688.png?1562936655', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/d/f/df3e94f7-9f97-4652-a1f1-381feb15f688.jpg?1562936655', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/d/f/df3e94f7-9f97-4652-a1f1-381feb15f688.jpg?1562936655'}",Ice Age,365,Christopher Rush,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/d/f/df3e94f7-9f97-4652-a1f1-381feb15f688.jpg?1562936655
27ac1fc7-0698-4a94-8353-cc4c13bd6ffa,Plains,1995-06-03,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/2/7/27ac1fc7-0698-4a94-8353-cc4c13bd6ffa.jpg?1562902353', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/2/7/27ac1fc7-0698-4a94-8353-cc4c13bd6ffa.jpg?1562902353', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/2/7/27ac1fc7-0698-4a94-8353-cc4c13bd6ffa.jpg?1562902353', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/2/7/27ac1fc7-0698-4a94-8353-cc4c13bd6ffa.png?1562902353', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/2/7/27ac1fc7-0698-4a94-8353-cc4c13bd6ffa.jpg?1562902353', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/2/7/27ac1fc7-0698-4a94-8353-cc4c13bd6ffa.jpg?1562902353'}",Ice Age,366,Christopher Rush,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/2/7/27ac1fc7-0698-4a94-8353-cc4c13bd6ffa.jpg?1562902353
ef2d6fc9-ddad-4dd2-b218-afa1a5449b7e,Island,1995-06-03,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/e/f/ef2d6fc9-ddad-4dd2-b218-afa1a5449b7e.jpg?1562939929', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/e/f/ef2d6fc9-ddad-4dd2-b218-afa1a5449b7e.jpg?1562939929', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/e/f/ef2d6fc9-ddad-4dd2-b218-afa1a5449b7e.jpg?1562939929', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/e/f/ef2d6fc9-ddad-4dd2-b218-afa1a5449b7e.png?1562939929', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/e/f/ef2d6fc9-ddad-4dd2-b218-afa1a5449b7e.jpg?1562939929', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/e/f/ef2d6fc9-ddad-4dd2-b218-afa1a5449b7e.jpg?1562939929'}",Ice Age,368,Anson Maddocks,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/e/f/ef2d6fc9-ddad-4dd2-b218-afa1a5449b7e.jpg?1562939929
61a467ab-4460-4e5e-94c1-8150bfe0c954,Island,1995-06-03,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/6/1/61a467ab-4460-4e5e-94c1-8150bfe0c954.jpg?1562913055', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/6/1/61a467ab-4460-4e5e-94c1-8150bfe0c954.jpg?1562913055', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/6/1/61a467ab-4460-4e5e-94c1-8150bfe0c954.jpg?1562913055', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/6/1/61a467ab-4460-4e5e-94c1-8150bfe0c954.png?1562913055', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/6/1/61a467ab-4460-4e5e-94c1-8150bfe0c954.jpg?1562913055', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/6/1/61a467ab-4460-4e5e-94c1-8150bfe0c954.jpg?1562913055'}",Ice Age,369,Anson Maddocks,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/6/1/61a467ab-4460-4e5e-94c1-8150bfe0c954.jpg?1562913055
82f11c42-9d67-4833-9519-e165e6a7e9c4,Island,1995-06-03,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/8/2/82f11c42-9d67-4833-9519-e165e6a7e9c4.jpg?1562919307', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/8/2/82f11c42-9d67-4833-9519-e165e6a7e9c4.jpg?1562919307', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/8/2/82f11c42-9d67-4833-9519-e165e6a7e9c4.jpg?1562919307', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/8/2/82f11c42-9d67-4833-9519-e165e6a7e9c4.png?1562919307', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/8/2/82f11c42-9d67-4833-9519-e165e6a7e9c4.jpg?1562919307', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/8/2/82f11c42-9d67-4833-9519-e165e6a7e9c4.jpg?1562919307'}",Ice Age,370,Anson Maddocks,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/8/2/82f11c42-9d67-4833-9519-e165e6a7e9c4.jpg?1562919307
4695653a-5c4c-4ff3-b80c-f4b6c685f370,Swamp,1995-06-03,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/4/6/4695653a-5c4c-4ff3-b80c-f4b6c685f370.jpg?1562907887', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/4/6/4695653a-5c4c-4ff3-b80c-f4b6c685f370.jpg?1562907887', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/4/6/4695653a-5c4c-4ff3-b80c-f4b6c685f370.jpg?1562907887', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/4/6/4695653a-5c4c-4ff3-b80c-f4b6c685f370.png?1562907887', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/4/6/4695653a-5c4c-4ff3-b80c-f4b6c685f370.jpg?1562907887', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/4/6/4695653a-5c4c-4ff3-b80c-f4b6c685f370.jpg?1562907887'}",Ice Age,373,Douglas Shuler,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/4/6/4695653a-5c4c-4ff3-b80c-f4b6c685f370.jpg?1562907887
ddca7e2e-bb0a-47ed-ade3-31900da992dc,Swamp,1995-06-03,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/d/d/ddca7e2e-bb0a-47ed-ade3-31900da992dc.jpg?1562936375', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/d/d/ddca7e2e-bb0a-47ed-ade3-31900da992dc.jpg?1562936375', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/d/d/ddca7e2e-bb0a-47ed-ade3-31900da992dc.jpg?1562936375', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/d/d/ddca7e2e-bb0a-47ed-ade3-31900da992dc.png?1562936375', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/d/d/ddca7e2e-bb0a-47ed-ade3-31900da992dc.jpg?1562936375', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/d/d/ddca7e2e-bb0a-47ed-ade3-31900da992dc.jpg?1562936375'}",Ice Age,375,Douglas Shuler,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/d/d/ddca7e2e-bb0a-47ed-ade3-31900da992dc.jpg?1562936375
2eb15b42-be2a-4663-b064-aad6c7cb2714,Mountain,1995-06-03,"{'small': 'https://c1.scryfall.com/file/scryfall-cards/small/front/2/e/2eb15b42-be2a-4663-b064-aad6c7cb2714.jpg?1562903589', 'normal': 'https://c1.scryfall.com/file/scryfall-cards/normal/front/2/e/2eb15b42-be2a-4663-b064-aad6c7cb2714.jpg?1562903589', 'large': 'https://c1.scryfall.com/file/scryfall-cards/large/front/2/e/2eb15b42-be2a-4663-b064-aad6c7cb2714.jpg?1562903589', 'png': 'https://c1.scryfall.com/file/scryfall-cards/png/front/2/e/2eb15b42-be2a-4663-b064-aad6c7cb2714.png?1562903589', 'art_crop': 'https://c1.scryfall.com/file/scryfall-cards/art_crop/front/2/e/2eb15b42-be2a-4663-b064-aad6c7cb2714.jpg?1562903589', 'border_crop': 'https://c1.scryfall.com/file/scryfall-cards/border_crop/front/2/e/2eb15b42-be2a-4663-b064-aad6c7cb2714.jpg?1562903589'}",Ice Age,377,Tom Wänerstrand,https://c1.scryfall.com/file/scryfall-cards/art_crop/front/2/e/2eb15b42-be2a-4663-b064-aad6c7cb2714.jpg?1562903589
